id,zero_intelligence_count,zero_intelligence_intensity,zero_intelligence_shading_min,zero_intelligence_shading_max,market_maker_count,market_maker_intensity,market_maker_number_orders,market_maker_number_of_ticks_between_orders,market_maker_spread_around_asset,national_best_bid_and_offer_delay,session_length
91,25,0.001,0,250,4,0.005,3,50,128,500,1000
92,66,0.001,0,250,4,0.005,3,50,128,500,1000
93,25,0.0005,0,500,4,0.005,3,50,128,500,1000
94,66,0.0005,0,500,4,0.005,3,50,128,500,1000
95,25,0.001,0,500,4,0.005,3,50,128,500,1000
96,66,0.001,0,500,4,0.005,3,50,128,500,1000
97,25,0.0005,0,250,2,0.005,3,25,256,500,1000
98,66,0.0005,0,250,2,0.005,3,25,256,500,1000
99,25,0.001,0,250,2,0.005,3,25,256,500,1000
100,66,0.001,0,250,2,0.005,3,25,256,500,1000
101,25,0.0005,0,500,2,0.005,3,25,256,500,1000
102,66,0.0005,0,500,2,0.005,3,25,256,500,1000
103,25,0.001,0,500,2,0.005,3,25,256,500,1000
104,66,0.001,0,500,2,0.005,3,25,256,500,1000
105,25,0.0005,0,250,4,0.005,3,25,256,500,1000
106,66,0.0005,0,250,4,0.005,3,25,256,500,1000
107,25,0.001,0,250,4,0.005,3,25,256,500,1000
108,66,0.001,0,250,4,0.005,3,25,256,500,1000
109,25,0.0005,0,500,4,0.005,3,25,256,500,1000
110,66,0.0005,0,500,4,0.005,3,25,256,500,1000
111,25,0.001,0,500,4,0.005,3,25,256,500,1000
112,66,0.001,0,500,4,0.005,3,25,256,500,1000
113,25,0.0005,0,250,2,0.005,3,50,256,500,1000
114,66,0.0005,0,250,2,0.005,3,50,256,500,1000
115,25,0.001,0,250,2,0.005,3,50,256,500,1000
116,66,0.001,0,250,2,0.005,3,50,256,500,1000
117,25,0.0005,0,500,2,0.005,3,50,256,500,1000
118,66,0.0005,0,500,2,0.005,3,50,256,500,1000
119,25,0.001,0,500,2,0.005,3,50,256,500,1000
120,66,0.001,0,500,2,0.005,3,50,256,500,1000
121,25,0.0005,0,250,4,0.005,3,50,256,500,1000
122,66,0.0005,0,250,4,0.005,3,50,256,500,1000
123,25,0.001,0,250,4,0.005,3,50,256,500,1000
124,66,0.001,0,250,4,0.005,3,50,256,500,1000
125,25,0.0005,0,500,4,0.005,3,50,256,500,1000
126,66,0.0005,0,500,4,0.005,3,50,256,500,1000
127,25,0.001,0,500,4,0.005,3,50,256,500,1000
128,66,0.001,0,500,4,0.005,3,50,256,500,1000
129,25,0.0005,0,250,2,0.005,3,25,128,1000,1000
130,66,0.0005,0,250,2,0.005,3,25,128,1000,1000
131,25,0.001,0,250,2,0.005,3,25,128,1000,1000
132,66,0.001,0,250,2,0.005,3,25,128,1000,1000
133,25,0.0005,0,500,2,0.005,3,25,128,1000,1000
134,66,0.0005,0,500,2,0.005,3,25,128,1000,1000
135,25,0.001,0,500,2,0.005,3,25,128,1000,1000
136,66,0.001,0,500,2,0.005,3,25,128,1000,1000
137,25,0.0005,0,250,4,0.005,3,25,128,1000,1000
138,66,0.0005,0,250,4,0.005,3,25,128,1000,1000
139,25,0.001,0,250,4,0.005,3,25,128,1000,1000
140,66,0.001,0,250,4,0.005,3,25,128,1000,1000
141,25,0.0005,0,500,4,0.005,3,25,128,1000,1000
142,66,0.0005,0,500,4,0.005,3,25,128,1000,1000
143,25,0.001,0,500,4,0.005,3,25,128,1000,1000
144,66,0.001,0,500,4,0.005,3,25,128,1000,1000
145,25,0.0005,0,250,2,0.005,3,50,128,1000,1000
146,66,0.0005,0,250,2,0.005,3,50,128,1000,1000
147,25,0.001,0,250,2,0.005,3,50,128,1000,1000
148,66,0.001,0,250,2,0.005,3,50,128,1000,1000
149,25,0.0005,0,500,2,0.005,3,50,128,1000,1000
150,66,0.0005,0,500,2,0.005,3,50,128,1000,1000
151,25,0.001,0,500,2,0.005,3,50,128,1000,1000
152,66,0.001,0,500,2,0.005,3,50,128,1000,1000
153,25,0.0005,0,250,4,0.005,3,50,128,1000,1000
154,66,0.0005,0,250,4,0.005,3,50,128,1000,1000
155,25,0.001,0,250,4,0.005,3,50,128,1000,1000
156,66,0.001,0,250,4,0.005,3,50,128,1000,1000
157,25,0.0005,0,500,4,0.005,3,50,128,1000,1000
158,66,0.0005,0,500,4,0.005,3,50,128,1000,1000
159,25,0.001,0,500,4,0.005,3,50,128,1000,1000
160,66,0.001,0,500,4,0.005,3,50,128,1000,1000
161,25,0.0005,0,250,2,0.005,3,25,256,1000,1000
162,66,0.0005,0,250,2,0.005,3,25,256,1000,1000
163,25,0.001,0,250,2,0.005,3,25,256,1000,1000
164,66,0.001,0,250,2,0.005,3,25,256,1000,1000
165,25,0.0005,0,500,2,0.005,3,25,256,1000,1000
166,66,0.0005,0,500,2,0.005,3,25,256,1000,1000
167,25,0.001,0,500,2,0.005,3,25,256,1000,1000
168,66,0.001,0,500,2,0.005,3,25,256,1000,1000
169,25,0.0005,0,250,4,0.005,3,25,256,1000,1000
170,66,0.0005,0,250,4,0.005,3,25,256,1000,1000
171,25,0.001,0,250,4,0.005,3,25,256,1000,1000
172,66,0.001,0,250,4,0.005,3,25,256,1000,1000
173,25,0.0005,0,500,4,0.005,3,25,256,1000,1000
174,66,0.0005,0,500,4,0.005,3,25,256,1000,1000
175,25,0.001,0,500,4,0.005,3,25,256,1000,1000
176,66,0.001,0,500,4,0.005,3,25,256,1000,1000
177,25,0.0005,0,250,2,0.005,3,50,256,1000,1000
178,66,0.0005,0,250,2,0.005,3,50,256,1000,1000
179,25,0.001,0,250,2,0.005,3,50,256,1000,1000
180,66,0.001,0,250,2,0.005,3,50,256,1000,1000
181,25,0.0005,0,500,2,0.005,3,50,256,1000,1000
182,66,0.0005,0,500,2,0.005,3,50,256,1000,1000
183,25,0.001,0,500,2,0.005,3,50,256,1000,1000
184,66,0.001,0,500,2,0.005,3,50,256,1000,1000
185,25,0.0005,0,250,4,0.005,3,50,256,1000,1000
186,66,0.0005,0,250,4,0.005,3,50,256,1000,1000
187,25,0.001,0,250,4,0.005,3,50,256,1000,1000
188,66,0.001,0,250,4,0.005,3,50,256,1000,1000
189,25,0.0005,0,500,4,0.005,3,50,256,1000,1000
190,66,0.0005,0,500,4,0.005,3,50,256,1000,1000
191,25,0.001,0,500,4,0.005,3,50,256,1000,1000
192,66,0.001,0,500,4,0.005,3,50,256,1000,1000
193,25,0.0005,0,250,2,0.005,3,25,128,0,4000
194,66,0.0005,0,250,2,0.005,3,25,128,0,4000
195,25,0.001,0,250,2,0.005,3,25,128,0,4000
196,66,0.001,0,250,2,0.005,3,25,128,0,4000
197,25,0.0005,0,500,2,0.005,3,25,128,0,4000
198,66,0.0005,0,500,2,0.005,3,25,128,0,4000
199,25,0.001,0,500,2,0.005,3,25,128,0,4000
200,66,0.001,0,500,2,0.005,3,25,128,0,4000
201,25,0.0005,0,250,4,0.005,3,25,128,0,4000
202,66,0.0005,0,250,4,0.005,3,25,128,0,4000
203,25,0.001,0,250,4,0.005,3,25,128,0,4000
204,66,0.001,0,250,4,0.005,3,25,128,0,4000
205,25,0.0005,0,500,4,0.005,3,25,128,0,4000
206,66,0.0005,0,500,4,0.005,3,25,128,0,4000
207,25,0.001,0,500,4,0.005,3,25,128,0,4000
208,66,0.001,0,500,4,0.005,3,25,128,0,4000
209,25,0.0005,0,250,2,0.005,3,50,128,0,4000
210,66,0.0005,0,250,2,0.005,3,50,128,0,4000
211,25,0.001,0,250,2,0.005,3,50,128,0,4000
212,66,0.001,0,250,2,0.005,3,50,128,0,4000
213,25,0.0005,0,500,2,0.005,3,50,128,0,4000
214,66,0.0005,0,500,2,0.005,3,50,128,0,4000
215,25,0.001,0,500,2,0.005,3,50,128,0,4000
216,66,0.001,0,500,2,0.005,3,50,128,0,4000
217,25,0.0005,0,250,4,0.005,3,50,128,0,4000
218,66,0.0005,0,250,4,0.005,3,50,128,0,4000
219,25,0.001,0,250,4,0.005,3,50,128,0,4000
220,66,0.001,0,250,4,0.005,3,50,128,0,4000
221,25,0.0005,0,500,4,0.005,3,50,128,0,4000
222,66,0.0005,0,500,4,0.005,3,50,128,0,4000
223,25,0.001,0,500,4,0.005,3,50,128,0,4000
224,66,0.001,0,500,4,0.005,3,50,128,0,4000
225,25,0.0005,0,250,2,0.005,3,25,256,0,4000
226,66,0.0005,0,250,2,0.005,3,25,256,0,4000
227,25,0.001,0,250,2,0.005,3,25,256,0,4000
228,66,0.001,0,250,2,0.005,3,25,256,0,4000
229,25,0.0005,0,500,2,0.005,3,25,256,0,4000
